연번,조사기관(자료회신기관),업소명,품목명,품목기준코드,품목구분,제조/수입,전문/일반,조사 항목,,,,,,,해당 품목 자료 작성자 정보,,
,,,,,,,,"부작용피해구제 안내문구 표시 여부
(포장, 용기, 첨부문서 중 일부라도 표시한 경우, O)
(포장, 용기, 첨부문서 어느 곳에도 전혀 표시하지 않은 경우, X)","피해구제 표준도안 사용여부
(포장, 용기, 첨부문서 중 일부라도 표시한 경우, O)
(포장, 용기, 첨부문서 어느 곳에도 전혀 표시하지 않은 경우, X)",표시위치,"구체적인 표시 문구
(포장, 용기, 첨부문서 각각)","미표시 사유
(포장, 용기, 첨부문서 어느 곳에도 전혀 표시하지 않은 경우만 작성)","향후 표시 계획(시기)
(포장, 용기, 첨부문서 어느 곳에도 전혀 표시하지 않은 경우만 작성)",건의사항,이름,전화번호,이메일주소
42,한국바이오의약품협회,(주)녹십자,"그린진에프주500단위(베록토코그알파)(혈액응고인자VIII,유전자재조합)(수출명:그린진에프주500아이유)",201004775,생물의약품,제조,전문의약품,,,,,,,,,,
43,한국바이오의약품협회,(주)녹십자,"그린진에프주1000단위(베록토코그알파)(혈액응고인자VIII,유전자재조합)",201106203,생물의약품,제조,전문의약품,,,,,,,,,,
44,한국바이오의약품협회,(주)녹십자,헌터라제(이두설파제-베타),201200232,생물의약품,제조,전문의약품,,,,,,,,,,
45,한국바이오의약품협회,(주)녹십자,녹십자-세포배양일본뇌염백신주(건조세포배양일본뇌염백신),201309915,생물의약품,제조,전문의약품,,,,,,,,,,
46,한국바이오의약품협회,(주)녹십자,디어미정,201401236,의약품,수입,일반의약품,,,,,,,,,,
47,한국바이오의약품협회,(주)녹십자,신바로정,201401963,한약(생약)제제등,제조,전문의약품,,,,,,,,,,
48,한국바이오의약품협회,(주)녹십자,뉴라펙프리필드시린지주(페그테오그라스팀),201403786,생물의약품,제조,전문의약품,,,,,,,,,,
49,한국바이오의약품협회,(주)녹십자,네오칸데정8밀리그램(칸데사르탄실렉세틸),201500208,의약품,제조,전문의약품,,,,,,,,,,
50,한국바이오의약품협회,(주)녹십자,네오칸데정16밀리그램(칸데사르탄실렉세틸),201500209,의약품,제조,전문의약품,,,,,,,,,,
51,한국바이오의약품협회,(주)녹십자,네오칸데플러스정,201500210,의약품,제조,전문의약품,,,,,,,,,,
52,한국바이오의약품협회,(주)녹십자,판딕트주10밀리그램(나파모스타트메실산염),201507220,의약품,제조,전문의약품,,,,,,,,,,
53,한국바이오의약품협회,(주)녹십자,지씨플루쿼드리밸런트프리필드시린지주(인플루엔자분할백신),201507932,생물의약품,제조,전문의약품,,,,,,,,,,
54,한국바이오의약품협회,(주)녹십자,다비듀오정10/5밀리그램,201601225,의약품,제조,전문의약품,,,,,,,,,,
55,한국바이오의약품협회,(주)녹십자,다비듀오정10/10밀리그램,201601226,의약품,제조,전문의약품,,,,,,,,,,
56,한국바이오의약품협회,(주)녹십자,다비듀오정10/20밀리그램,201601227,의약품,제조,전문의약품,,,,,,,,,,
57,한국바이오의약품협회,(주)녹십자,지씨플루쿼드리밸런트주(인플루엔자분할백신),201601745,생물의약품,제조,전문의약품,,,,,,,,,,
58,한국바이오의약품협회,(주)녹십자,탁센400이부프로펜연질캡슐,201602703,의약품,제조,일반의약품,,,,,,,,,,
59,한국바이오의약품협회,(주)녹십자,그린노즈에스시럽,201603449,의약품,제조,일반의약품,,,,,,,,,,
60,한국바이오의약품협회,(주)녹십자,로시놀더블액션크림,201604578,의약품,제조,일반의약품,,,,,,,,,,
61,한국바이오의약품협회,(주)녹십자,제놀하이드로24카타플라스마(록소프로펜나트륨수화물),201605160,의약품,제조,일반의약품,,,,,,,,,,
62,한국바이오의약품협회,(주)녹십자,페리터치액(폴리크레줄렌액50%),201606382,의약품,제조,일반의약품,,,,,,,,,,
63,한국바이오의약품협회,(주)녹십자,녹십자티디백신프리필드시린지주,201606436,생물의약품,제조,전문의약품,,,,,,,,,,
64,한국바이오의약품협회,(주)녹십자,네오아토정10밀리그램(아토르바스타틴칼슘수화물),201701634,의약품,제조,전문의약품,,,,,,,,,,
65,한국바이오의약품협회,(주)녹십자,네오아토정20밀리그램(아토르바스타틴칼슘수화물),201701635,의약품,제조,전문의약품,,,,,,,,,,
66,한국바이오의약품협회,(주)녹십자,로타칸정 10/16밀리그램,201702405,의약품,제조,전문의약품,,,,,,,,,,
67,한국바이오의약품협회,(주)녹십자,로타칸정 10/8밀리그램,201702406,의약품,제조,전문의약품,,,,,,,,,,
68,한국바이오의약품협회,(주)녹십자,로타칸정 5/8밀리그램,201702407,의약품,제조,전문의약품,,,,,,,,,,
69,한국바이오의약품협회,(주)녹십자,로타칸정 20/32밀리그램,201702408,의약품,제조,전문의약품,,,,,,,,,,
70,한국바이오의약품협회,(주)녹십자,제놀코인플라스타,201703186,의약품,제조,일반의약품,,,,,,,,,,
71,한국바이오의약품협회,(주)녹십자,제놀더블액션카타플라스마,201705176,의약품,제조,일반의약품,,,,,,,,,,
72,한국바이오의약품협회,(주)녹십자,"글라지아프리필드펜(인슐린글라진,유전자재조합)",201801065,생물의약품,수입,전문의약품,,,,,,,,,,
73,한국바이오의약품협회,(주)녹십자,탁센이브연질캡슐,201801089,의약품,제조,일반의약품,,,,,,,,,,
74,한국바이오의약품협회,(주)녹십자,녹십자폴산정,201803375,의약품,제조,일반의약품,,,,,,,,,,
75,한국바이오의약품협회,(주)녹십자,로타칸정 5/16밀리그램,201803503,의약품,제조,전문의약품,,,,,,,,,,
76,한국바이오의약품협회,(주)녹십자,훼리너프지캡슐,201900678,의약품,제조,일반의약품,,,,,,,,,,
77,한국바이오의약품협회,(주)녹십자,"그린코플시럽(딸기향, 바나나향)",201901010,의약품,제조,일반의약품,,,,,,,,,,
78,한국바이오의약품협회,(주)녹십자,백초수액,201902545,의약품,제조,일반의약품,,,,,,,,,,
79,한국바이오의약품협회,(주)녹십자,티라노골드플러스츄어블정,201902565,의약품,제조,일반의약품,,,,,,,,,,
80,한국바이오의약품협회,(주)녹십자,타미노펜연질캡슐(아세트아미노펜),201902973,의약품,제조,일반의약품,,,,,,,,,,
81,한국바이오의약품협회,(주)녹십자,락사졸로정1밀리그램(프루칼로프라이드숙신산염),201905395,의약품,제조,전문의약품,,,,,,,,,,
82,한국바이오의약품협회,(주)녹십자,락사졸로정2밀리그램(프루칼로프라이드숙신산염),201905396,의약품,제조,전문의약품,,,,,,,,,,
83,한국바이오의약품협회,(주)녹십자,스카힐골드겔,201906430,의약품,제조,일반의약품,,,,,,,,,,
84,한국바이오의약품협회,(주)녹십자,탁센엠지연질캡슐,201908533,의약품,제조,일반의약품,,,,,,,,,,
85,한국바이오의약품협회,(주)녹십자,제놀롱플라스타(디클로페낙나트륨),202000733,의약품,제조,일반의약품,,,,,,,,,,
86,한국바이오의약품협회,(주)녹십자,칸데디핀정16/5밀리그램,202000968,의약품,제조,전문의약품,,,,,,,,,,
87,한국바이오의약품협회,(주)녹십자,칸데디핀정8/5밀리그램,202000969,의약품,제조,전문의약품,,,,,,,,,,
88,한국바이오의약품협회,(주)녹십자,칸데디핀정16/10밀리그램,202000970,의약품,제조,전문의약품,,,,,,,,,,
89,한국바이오의약품협회,(주)녹십자,배리셀라주(수두생바이러스백신),202001448,생물의약품,제조,전문의약품,,,,,,,,,,
90,한국바이오의약품협회,(주)녹십자,탁센덱시연질캡슐(덱시부프로펜),202001495,의약품,제조,일반의약품,,,,,,,,,,
91,한국바이오의약품협회,(주)녹십자,제놀푸로탑플라스타(플루르비프로펜),202001573,의약품,제조,일반의약품,,,,,,,,,,
92,한국바이오의약품협회,(주)녹십자,디어미순정,202001726,의약품,수입,일반의약품,,,,,,,,,,
93,한국바이오의약품협회,(주)녹십자,모사프로드서방정15밀리그램(모사프리드시트르산염수화물),202002989,의약품,제조,전문의약품,,,,,,,,,,
94,한국바이오의약품협회,(주)녹십자,판딕트주50밀리그램(나파모스타트메실산염),202004440,의약품,제조,전문의약품,,,,,,,,,,
95,한국바이오의약품협회,(주)녹십자,제놀빅카타플라스마(펠비낙),202006021,의약품,제조,일반의약품,,,,,,,,,,
96,한국바이오의약품협회,(주)녹십자,무코텍트서방정150밀리그램(레바미피드),202008938,의약품,제조,전문의약품,,,,,,,,,,
97,한국바이오의약품협회,(주)녹십자,에소카정20/600밀리그램,202101158,의약품,제조,전문의약품,,,,,,,,,,
98,한국바이오의약품협회,(주)녹십자,에소카정40/600밀리그램,202101159,의약품,제조,전문의약품,,,,,,,,,,
99,한국바이오의약품협회,(주)녹십자,아젯듀오정10/10밀리그램,202101423,의약품,제조,전문의약품,,,,,,,,,,
100,한국바이오의약품협회,(주)녹십자,아젯듀오정10/20밀리그램,202101424,의약품,제조,전문의약품,,,,,,,,,,
101,한국바이오의약품협회,(주)녹십자,아젯듀오정10/40밀리그램,202101425,의약품,제조,전문의약품,,,,,,,,,,
102,한국바이오의약품협회,(주)녹십자,로제텔정80/10/10밀리그램,202106687,의약품,제조,전문의약품,,,,,,,,,,
103,한국바이오의약품협회,(주)녹십자,로제텔정80/5/10밀리그램,202106688,의약품,제조,전문의약품,,,,,,,,,,
104,한국바이오의약품협회,(주)녹십자,로제텔정40/5/10밀리그램,202106690,의약품,제조,전문의약품,,,,,,,,,,
105,한국바이오의약품협회,(주)녹십자,로제텔정40/10/10밀리그램,202106691,의약품,제조,전문의약품,,,,,,,,,,
106,한국바이오의약품협회,(주)녹십자,탁센레이디연질캡슐,202107327,의약품,제조,일반의약품,,,,,,,,,,
107,한국바이오의약품협회,(주)녹십자,네오록사반정2.5밀리그램(리바록사반),202200076,의약품,제조,전문의약품,,,,,,,,,,
108,한국바이오의약품협회,(주)녹십자,슈가리버스주(슈가마덱스나트륨),202200666,의약품,제조,전문의약품,,,,,,,,,,
109,한국바이오의약품협회,(주)녹십자,로시놀액(나프티핀염산염),202201550,의약품,제조,일반의약품,,,,,,,,,,
110,한국바이오의약품협회,(주)녹십자,로제텔핀정40/5/10/5밀리그램,202202188,의약품,제조,전문의약품,,,,,,,,,,
111,한국바이오의약품협회,(주)녹십자,로제텔핀정40/10/10/5밀리그램,202202189,의약품,제조,전문의약품,,,,,,,,,,
112,한국바이오의약품협회,(주)녹십자,로제텔핀정80/5/10/5밀리그램,202202191,의약품,제조,전문의약품,,,,,,,,,,
113,한국바이오의약품협회,(주)녹십자,로제텔핀정80/10/10/5밀리그램,202202192,의약품,제조,전문의약품,,,,,,,,,,
114,한국바이오의약품협회,(주)메디톡스,"메디톡신주(클로스트리디움보툴리눔독소A형)[수출명:뉴로녹스주(클로스트리디움보툴리눔독소A형), 시악스주(클로스트리디움보툴리눔독소A형), 에복시아주(클로스트리디움보툴리눔독소A형), 아이록신주(클로스트리디움보툴리눔독소A형), 보타넥스주(클로스트리디움보툴리눔독소A형), 큐녹스주(클로스트리디움보툴리눔독소A형), 보툴리프트주(클로스트리디움보툴리눔독소A형)]",200600841,생물의약품,제조,전문의약품,,,,,,,,,,
115,한국바이오의약품협회,(주)메디톡스,"메디톡신주 200단위(클로스트리디움보툴리눔독소A형)[수출명:뉴로녹스주 200단위(클로스트리디움보툴리눔독소A형), 시악스주 200단위(클로스트리디움보툴리눔독소A형), 에복시아주 200단위(클로스트리디움보툴리눔독소A형), 아이록신주 200단위(클로스트리디움보툴리눔독소A형), 보타넥스주 200단위(클로스트리디움보툴리눔독소A형), 큐녹스주 200단위(클로스트리디움보툴리눔독소A형), 보툴리프트주 200단위(클로스트리디움보툴리눔독소A형)]",200902348,생물의약품,제조,전문의약품,,,,,,,,,,
116,한국바이오의약품협회,(주)메디톡스,"메디톡신주 50단위(클로스트리디움보툴리눔독소A형)[수출명:뉴로녹스주 50단위(클로스트리디움보툴리눔독소A형), 시악스주 50단위(클로스트리디움보툴리눔독소A형), 에복시아주 50단위(클로스트리디움보툴리눔독소A형), 아이록신주 50단위(클로스트리디움보툴리눔독소A형), 보타넥스주 50단위(클로스트리디움보툴리눔독소A형), 큐녹스주 50단위(클로스트리디움보툴리눔독소A형), 보툴리프트주 50단위(클로스트리디움보툴리눔독소A형)]",201001655,생물의약품,제조,전문의약품,,,,,,,,,,
