연번,조사기관(자료회신기관),업소명,품목명,품목기준코드,품목구분,제조/수입,전문/일반,조사 항목,,,,,,,해당 품목 자료 작성자 정보,,
,,,,,,,,"부작용피해구제 안내문구 표시 여부
(포장, 용기, 첨부문서 중 일부라도 표시한 경우, O)
(포장, 용기, 첨부문서 어느 곳에도 전혀 표시하지 않은 경우, X)","피해구제 표준도안 사용여부
(포장, 용기, 첨부문서 중 일부라도 표시한 경우, O)
(포장, 용기, 첨부문서 어느 곳에도 전혀 표시하지 않은 경우, X)",표시위치,"구체적인 표시 문구
(포장, 용기, 첨부문서 각각)","미표시 사유
(포장, 용기, 첨부문서 어느 곳에도 전혀 표시하지 않은 경우만 작성)","향후 표시 계획(시기)
(포장, 용기, 첨부문서 어느 곳에도 전혀 표시하지 않은 경우만 작성)",건의사항,이름,전화번호,이메일주소
428,한국바이오의약품협회,(주)셀트리온제약,트레블정80/5/5밀리그램,201802587,의약품,제조,전문의약품,,,,,,,,,,
429,한국바이오의약품협회,(주)셀트리온제약,이달비클로정40/12.5밀리그램,201803207,의약품,수입,전문의약품,,,,,,,,,,
430,한국바이오의약품협회,(주)셀트리온제약,이달비클로정40/25밀리그램,201803208,의약품,수입,전문의약품,,,,,,,,,,
431,한국바이오의약품협회,(주)셀트리온제약,네시나메트정12.5/850밀리그램,201804317,의약품,수입,전문의약품,,,,,,,,,,
432,한국바이오의약품협회,(주)셀트리온제약,셀트리온네오파정(레보설피리드),201900297,의약품,제조,전문의약품,,,,,,,,,,
433,한국바이오의약품협회,(주)셀트리온제약,셀코르정(메틸프레드니솔론),201900656,의약품,제조,전문의약품,,,,,,,,,,
434,한국바이오의약품협회,(주)셀트리온제약,세프리온캡슐(세픽심수화물),201900728,의약품,제조,전문의약품,,,,,,,,,,
435,한국바이오의약품협회,(주)셀트리온제약,셀나핀정(테르비나핀염산염),201900799,의약품,제조,전문의약품,,,,,,,,,,
436,한국바이오의약품협회,(주)셀트리온제약,뉴로가펜캡슐300밀리그램(가바펜틴),201901590,의약품,제조,전문의약품,,,,,,,,,,
437,한국바이오의약품협회,(주)셀트리온제약,셀로그라캡슐(타크로리무스수화물),201901683,의약품,제조,전문의약품,,,,,,,,,,
438,한국바이오의약품협회,(주)셀트리온제약,셀트포지정10/160밀리그램,201902727,의약품,제조,전문의약품,,,,,,,,,,
439,한국바이오의약품협회,(주)셀트리온제약,올디피정5/20/12.5밀리그램,201903157,의약품,제조,전문의약품,,,,,,,,,,
440,한국바이오의약품협회,(주)셀트리온제약,올디피정10/40/12.5밀리그램,201903158,의약품,제조,전문의약품,,,,,,,,,,
441,한국바이오의약품협회,(주)셀트리온제약,올디피정5/40/12.5밀리그램,201903159,의약품,제조,전문의약품,,,,,,,,,,
442,한국바이오의약품협회,(주)셀트리온제약,세레탈서방캡슐100밀리그램(실로스타졸),201903675,의약품,제조,전문의약품,,,,,,,,,,
443,한국바이오의약품협회,(주)셀트리온제약,세레탈서방캡슐200밀리그램(실로스타졸),201903676,의약품,제조,전문의약품,,,,,,,,,,
444,한국바이오의약품협회,(주)셀트리온제약,글루스탑정30밀리그램(피오글리타존염산염),201903743,의약품,제조,전문의약품,,,,,,,,,,
445,한국바이오의약품협회,(주)셀트리온제약,셀큐라민정(은행엽건조엑스),201904192,의약품,제조,일반의약품,,,,,,,,,,
446,한국바이오의약품협회,(주)셀트리온제약,메트피오정15/850밀리그램,201904569,의약품,제조,전문의약품,,,,,,,,,,
447,한국바이오의약품협회,(주)셀트리온제약,셀미플러스정80/12.5밀리그램,201906874,의약품,제조,전문의약품,,,,,,,,,,
448,한국바이오의약품협회,(주)셀트리온제약,셀미플러스정40/12.5밀리그램,201906875,의약품,제조,전문의약품,,,,,,,,,,
449,한국바이오의약품협회,(주)셀트리온제약,듀오스타정40/5밀리그램,201906992,의약품,제조,전문의약품,,,,,,,,,,
450,한국바이오의약품협회,(주)셀트리온제약,듀오스타정40/10밀리그램,201906993,의약품,제조,전문의약품,,,,,,,,,,
451,한국바이오의약품협회,(주)셀트리온제약,세페리손서방정(에페리손염산염),202000960,의약품,제조,전문의약품,,,,,,,,,,
452,한국바이오의약품협회,(주)셀트리온제약,비나크린서방정300밀리그램(사르포그렐레이트염산염),202002487,의약품,제조,전문의약품,,,,,,,,,,
453,한국바이오의약품협회,(주)셀트리온제약,탐솔서방정0.2밀리그램(탐스로신염산염),202002981,의약품,제조,전문의약품,,,,,,,,,,
454,한국바이오의약품협회,(주)셀트리온제약,탐솔서방정0.4밀리그램(탐스로신염산염),202002985,의약품,제조,전문의약품,,,,,,,,,,
455,한국바이오의약품협회,(주)셀트리온제약,이무테라정25밀리그램(아자티오프린),202005873,의약품,제조,전문의약품,,,,,,,,,,
456,한국바이오의약품협회,(주)셀트리온제약,셀토젯정10/20밀리그램,202100211,의약품,제조,전문의약품,,,,,,,,,,
457,한국바이오의약품협회,(주)셀트리온제약,셀토젯정10/10밀리그램,202100212,의약품,제조,전문의약품,,,,,,,,,,
458,한국바이오의약품협회,(주)셀트리온제약,이무테라정(아자티오프린),202100575,의약품,제조,전문의약품,,,,,,,,,,
459,한국바이오의약품협회,(주)안트로젠,"레모둘린주사1mg/mL(트레프로스티닐), 레모둘린주사2.5mg/mL(트레프로스티닐), 레모둘린주사5mg/mL(트레프로스티닐), 레모둘린주사10mg/mL(트레프로스티닐)",201001269,의약품,수입,전문의약품,,,,,,,,,,
460,한국바이오의약품협회,(주)안트로젠,퀸셀(자가지방조직유래 최소조작 지방세포),202104462,첨단바이오의약품,제조,전문의약품,,,,,,,,,,
461,한국바이오의약품협회,(주)안트로젠,큐피스템주(자가지방유래중간엽줄기세포),202106133,첨단바이오의약품,제조,전문의약품,,,,,,,,,,
462,한국바이오의약품협회,(주)엑세스파마,피내용건조비씨지백신AJV주(피내용건조비씨지백신),200308068,생물의약품,수입,전문의약품,,,,,,,,,,
463,한국바이오의약품협회,(주)엑세스파마,튜베르쿨린피피디AJV(정제튜베르쿨린(PPD)),200706358,생물의약품,수입,전문의약품,,,,,,,,,,
464,한국바이오의약품협회,(주)엑세스파마,디티부스터주(프리필드시린지)(성인용 흡착 디프테리아 및 파상풍 혼합백신),201000170,생물의약품,수입,전문의약품,,,,,,,,,,
465,한국바이오의약품협회,(주)엑세스파마,레보락시럽(락툴로오스액),201309770,의약품,수입,전문의약품,,,,,,,,,,
466,한국바이오의약품협회,(주)엘지화학,"유트로핀주(소마트로핀, 유전자재조합)",199202539,생물의약품,제조,전문의약품,,,,,,,,,,
467,한국바이오의약품협회,(주)엘지화학,아이브이에프엠주75아이유(메노트로핀)(수출명:엘지아이브이에프엠주),199302841,의약품,제조,전문의약품,,,,,,,,,,
468,한국바이오의약품협회,(주)엘지화학,아이브이에프씨주5000아이유(태반성성선자극호르몬)(수출명:엘지아이브이에프씨주),199302842,의약품,제조,전문의약품,,,,,,,,,,
469,한국바이오의약품협회,(주)엘지화학,아이브이에프엠주150아이유(메노트로핀),199302843,의약품,제조,전문의약품,,,,,,,,,,
470,한국바이오의약품협회,(주)엘지화학,"유박스비주(B형간염백신,유전자재조합)(수출명:리콤박스주,헤파티박스주,RecombinantHepatitisBVaccine,엘지유박스비주)   ",199502406,생물의약품,제조,전문의약품,,,,,,,,,,
471,한국바이오의약품협회,(주)엘지화학,"히알2000주(히알루론산나트륨)(수출명:엘지히알2000주,하이원, 히아랄)",199502419,의약품,제조,전문의약품,,,,,,,,,,
472,한국바이오의약품협회,(주)엘지화학,칼반정50밀리그램(베반토롤염산염),199602713,의약품,제조,전문의약품,,,,,,,,,,
473,한국바이오의약품협회,(주)엘지화학,칼반정100밀리그램(베반토롤염산염),199602716,의약품,제조,전문의약품,,,,,,,,,,
474,한국바이오의약품협회,(주)엘지화학,에스포젠주10000IU/mL,199703027,생물의약품,제조,전문의약품,,,,,,,,,,
475,한국바이오의약품협회,(주)엘지화학,에스포젠주4000IU/mL,199703029,생물의약품,제조,전문의약품,,,,,,,,,,
476,한국바이오의약품협회,(주)엘지화학,자니딥정(레르카니디핀염산염),199803145,의약품,제조,전문의약품,,,,,,,,,,
477,한국바이오의약품협회,(주)엘지화학,팩티브정320밀리그램(제미플록사신메실산염),200202740,의약품,제조,전문의약품,,,,,,,,,,
478,한국바이오의약품협회,(주)엘지화학,"히알플러스주(히알루론산나트륨)(수출명: 하이원플러스주, 하이원포르테주, 엘지 히알플러스주, 소듐히알루로네이트주, 히아랄플러스)",200202741,의약품,제조,전문의약품,,,,,,,,,,
479,한국바이오의약품협회,(주)엘지화학,"에스포젠프리필드주4000IU/mL(인에리스로포이에틴,유전자재조합)(수출명:에리틴프리필드주,네오틴프리필드주,엘지에스포젠프리필드주,이포티브프리필드주,에스포젠프리필드플러스주,에포비탄프리필드주)",200403283,생물의약품,제조,전문의약품,,,,,,,,,,
480,한국바이오의약품협회,(주)엘지화학,"에스포젠프리필드주10000IU/mL(인에리스로포이에틴,유전자재조합)",200403284,생물의약품,제조,전문의약품,,,,,,,,,,
481,한국바이오의약품협회,(주)엘지화학,"히루안플러스주(히알루론산나트륨)(수출명: 히루안Ⅲ주, 엘지히루안플러스주,히루안Q, 히루안주, 신히알)",200403285,의약품,제조,전문의약품,,,,,,,,,,
482,한국바이오의약품협회,(주)엘지화학,"히루안주(히알루론산나트륨)(수출명: 엘지히루안주, 오스플렉스주, 콘드록스)",200502703,의약품,제조,전문의약품,,,,,,,,,,
483,한국바이오의약품협회,(주)엘지화학,애피트롤내복현탁액(메게스트롤아세테이트),200608270,의약품,제조,전문의약품,,,,,,,,,,
484,한국바이오의약품협회,(주)엘지화학,"디클라제주3mg(소마트로핀,유전자재조합)",200700485,생물의약품,제조,전문의약품,,,,,,,,,,
485,한국바이오의약품협회,(주)엘지화학,"폴리트롭프리필드시린지주 (폴리트로핀, 유전자재조합)",200706102,생물의약품,제조,전문의약품,,,,,,,,,,
486,한국바이오의약품협회,(주)엘지화학,"유트로핀플러스주 24mg (소마트로핀, 유전자재조합)",200801326,생물의약품,제조,전문의약품,,,,,,,,,,
487,한국바이오의약품협회,(주)엘지화학,산쿠소패취(그라니세트론),200811854,의약품,수입,전문의약품,,,,,,,,,,
488,한국바이오의약품협회,(주)엘지화학,유리토스정(이미다페나신),200812014,의약품,제조,전문의약품,,,,,,,,,,
489,한국바이오의약품협회,(주)엘지화학,유히브주(헤모필루스 인플루엔자 비형·파상풍톡소이드 접합백신),201004929,생물의약품,제조,전문의약품,,,,,,,,,,
490,한국바이오의약품협회,(주)엘지화학,비모보정 500/20밀리그램,201200417,의약품,수입,전문의약품,,,,,,,,,,
491,한국바이오의약품협회,(주)엘지화학,애피트롤이에스내복현탁액(메게스트롤아세테이트),201202081,의약품,제조,전문의약품,,,,,,,,,,
492,한국바이오의약품협회,(주)엘지화학,유박스비 프리필드주[B형간염백신(유전자재조합)],201203143,생물의약품,제조,전문의약품,,,,,,,,,,
493,한국바이오의약품협회,(주)엘지화학,"제미글로정50밀리그램(제미글립틴타르타르산염1.5수화물)
",201205933,의약품,제조,전문의약품,,,,,,,,,,
494,한국바이오의약품협회,(주)엘지화학,아이브이에프엠에이치피주75아이유(메노트로핀에이치피),201206643,의약품,제조,전문의약품,,,,,,,,,,
495,한국바이오의약품협회,(주)엘지화학,제미메트서방정25/500밀리그램,201308371,의약품,제조,전문의약품,,,,,,,,,,
496,한국바이오의약품협회,(주)엘지화학,레바캄정10/80밀리그램,201308391,의약품,제조,전문의약품,,,,,,,,,,
497,한국바이오의약품협회,(주)엘지화학,레바캄정20/160밀리그램,201308392,의약품,제조,전문의약품,,,,,,,,,,
498,한국바이오의약품협회,(주)엘지화학,레바캄정10/160밀리그램,201308426,의약품,제조,전문의약품,,,,,,,,,,
499,한국바이오의약품협회,(주)엘지화학,로바티탄정20/160밀리그램,201309652,의약품,제조,전문의약품,,,,,,,,,,
500,한국바이오의약품협회,(주)엘지화학,로바티탄정20/80밀리그램,201309653,의약품,제조,전문의약품,,,,,,,,,,
501,한국바이오의약품협회,(주)엘지화학,로바티탄정10/160밀리그램,201309654,의약품,제조,전문의약품,,,,,,,,,,
502,한국바이오의약품협회,(주)엘지화학,로바티탄정10/80밀리그램,201309655,의약품,제조,전문의약품,,,,,,,,,,
503,한국바이오의약품협회,(주)엘지화학,시노비안주(BDDE가교히알루론산나트륨겔),201309742,의약품,제조,전문의약품,,,,,,,,,,
504,한국바이오의약품협회,(주)엘지화학,로바티탄정5/80밀리그램,201404745,의약품,제조,전문의약품,,,,,,,,,,
505,한국바이오의약품협회,(주)엘지화학,아이브이에프엠에이치피멀티도즈주600아이유(메노트로핀에이치피),201404846,의약품,제조,전문의약품,,,,,,,,,,
506,한국바이오의약품협회,(주)엘지화학,로바티탄정5/160밀리그램,201404990,의약품,제조,전문의약품,,,,,,,,,,
507,한국바이오의약품협회,(주)엘지화학,제미메트서방정50/1000밀리그램,201405223,의약품,제조,전문의약품,,,,,,,,,,
508,한국바이오의약품협회,(주)엘지화학,가니레버프리필드시린지주0.25mg/0.5mL (가니렐릭스아세트산염),201506538,의약품,제조,전문의약품,,,,,,,,,,
509,한국바이오의약품협회,(주)엘지화학,네스티칼현탁액(폴리스티렌설폰산칼슘),201506806,의약품,제조,전문의약품,,,,,,,,,,
510,한국바이오의약품협회,(주)엘지화학,제미메트서방정50/500밀리그램,201507099,의약품,제조,전문의약품,,,,,,,,,,
511,한국바이오의약품협회,(주)엘지화학,"유트로핀펜주(소마트로핀, 유전자재조합)",201508495,생물의약품,제조,전문의약품,,,,,,,,,,
512,한국바이오의약품협회,(주)엘지화학,제미메트서방정25/1000밀리그램,201604114,의약품,제조,전문의약품,,,,,,,,,,
513,한국바이오의약품협회,(주)엘지화학,제미로우정50/10밀리그램,201706395,의약품,제조,전문의약품,,,,,,,,,,
514,한국바이오의약품협회,(주)엘지화학,제미로우정50/5밀리그램,201706396,의약품,제조,전문의약품,,,,,,,,,,
515,한국바이오의약품협회,(주)엘지화학,유셉트오토인젝터주(에타너셉트),201801194,생물의약품,제조,전문의약품,,,,,,,,,,
516,한국바이오의약품협회,(주)엘지화학,유셉트프리필드시린지주(에타너셉트) ,201801195,생물의약품,제조,전문의약품,,,,,,,,,,
517,한국바이오의약품협회,(주)엘지화학,"유트로핀주12IU(소마트로핀, 유전자재조합)",201804876,생물의약품,제조,전문의약품,,,,,,,,,,
518,한국바이오의약품협회,(주)엘지화학,젤리프서방정150밀리그램(프레가발린),201900138,의약품,제조,전문의약품,,,,,,,,,,
519,한국바이오의약품협회,(주)엘지화학,젤리프서방정300밀리그램(프레가발린),201900139,의약품,제조,전문의약품,,,,,,,,,,
520,한국바이오의약품협회,(주)엘지화학,"유트로핀에스펜주(소마트로핀,유전자재조합)",202201537,생물의약품,제조,전문의약품,,,,,,,,,,
521,한국바이오의약품협회,(주)엘지화학,제미다파정,202202588,의약품,제조,전문의약품,,,,,,,,,,
522,한국바이오의약품협회,(주)유바이오로직스,"유비콜-플러스(경구용 콜레라백신)(군수용,관수용)",201701512,생물의약품,제조,전문의약품,,,,,,,,,,
523,한국바이오의약품협회,(주)이수앱지스,클로티냅주(압식시맙),200611394,생물의약품,제조,전문의약품,,,,,,,,,,
524,한국바이오의약품협회,(주)이수앱지스,애브서틴주200단위(이미글루세라제),201207109,생물의약품,제조,전문의약품,,,,,,,,,,
525,한국바이오의약품협회,(주)이수앱지스,파바갈주(아갈시다제베타),201400051,생물의약품,제조,전문의약품,,,,,,,,,,
526,한국바이오의약품협회,(주)이수앱지스,애브서틴주400단위(이미글루세라제),201502789,생물의약품,제조,전문의약품,,,,,,,,,,
527,한국바이오의약품협회,(주)이수앱지스,페부레인과립(페닐부틸산나트륨),201505868,의약품,수입,전문의약품,,,,,,,,,,
528,한국바이오의약품협회,(주)종근당,테라싸이클린캅셀250밀리그람(염산테트라싸이클린),196000001,의약품,제조,전문의약품,,,,,,,,,,
529,한국바이오의약품협회,(주)종근당,앰씰린캡슐250밀리그램(암피실린수화물),197000005,의약품,제조,전문의약품,,,,,,,,,,
530,한국바이오의약품협회,(주)종근당,리포덱스캅셀(리팜피신)(수출명: 종근당리팜피신캅셀150mg),197300021,의약품,제조,전문의약품,,,,,,,,,,
531,한국바이오의약품협회,(주)종근당,라이덱스크림(플루오시노니드),197400031,의약품,제조,전문의약품,,,,,,,,,,
532,한국바이오의약품협회,(주)종근당,탐부톨정250밀리그램(에탐부톨염산염)(수출명:에산부톨정250밀리그램),197400038,의약품,제조,전문의약품,,,,,,,,,,
533,한국바이오의약품협회,(주)종근당,탐부톨정400밀리그램(에탐부톨염산염),197400039,의약품,제조,전문의약품,,,,,,,,,,
534,한국바이오의약품협회,(주)종근당,"아목사펜캡슐(아목시실린수화물)(수출명:아드목스캡슐,에프페닉스캡슐)",197500015,의약품,제조,전문의약품,,,,,,,,,,
535,한국바이오의약품협회,(주)종근당,낙센정(나프록센),197500016,의약품,제조,일반의약품,,,,,,,,,,
536,한국바이오의약품협회,(주)종근당,앰씰린캡슐500밀리그램(암피실린수화물)(수출명:앰씬캡슐500밀리그램),197600036,의약품,제조,전문의약품,,,,,,,,,,
537,한국바이오의약품협회,(주)종근당,푸리노신정(이노시플렉스),197700025,의약품,제조,전문의약품,,,,,,,,,,
538,한국바이오의약품협회,(주)종근당,리포덱스정300밀리그람(리팜피신),198000054,의약품,제조,전문의약품,,,,,,,,,,
539,한국바이오의약품협회,(주)종근당,베자립정(베자피브레이트),198100015,의약품,제조,전문의약품,,,,,,,,,,
540,한국바이오의약품협회,(주)종근당,리포덱스정600밀리그람(리팜피신)/종근당리팜피신정600밀리그람(수출용),198200048,의약품,제조,전문의약품,,,,,,,,,,
541,한국바이오의약품협회,(주)종근당,리포덱스정450밀리그람(리팜피신)/종근당리팜피신정450밀리그람(수출용),198200049,의약품,제조,전문의약품,,,,,,,,,,
542,한국바이오의약품협회,(주)종근당,아나프록스정(나프록센나트륨),198300064,의약품,제조,일반의약품,,,,,,,,,,
543,한국바이오의약품협회,(주)종근당,종근당아목시실린캡슐500밀리그램,198300065,의약품,제조,전문의약품,,,,,,,,,,
544,한국바이오의약품협회,(주)종근당,"종근당세파졸린주1그램(세파졸린나트륨)(수출명:씨졸주1그램,라세나졸린주1그램,오리안트주1그램)",198300066,의약품,제조,전문의약품,,,,,,,,,,
545,한국바이오의약품협회,(주)종근당,"종근당세파졸린주500밀리그램(세파졸린나트륨)(수출명:씨졸주500밀리그램,라세나졸린주500밀리그램)",198300067,의약품,제조,전문의약품,,,,,,,,,,
546,한국바이오의약품협회,(주)종근당,파미솔주사,198400056,의약품,제조,전문의약품,,,,,,,,,,
547,한국바이오의약품협회,(주)종근당,푸리노신시럽(이노시플렉스),198600073,의약품,제조,전문의약품,,,,,,,,,,
548,한국바이오의약품협회,(주)종근당,카프솔주,198700088,의약품,제조,전문의약품,,,,,,,,,,
549,한국바이오의약품협회,(주)종근당,카멕스캡슐(세파드록실수화물),198700096,의약품,제조,전문의약품,,,,,,,,,,
550,한국바이오의약품협회,(주)종근당,이스모정(5-일질산이소소르비드),198800150,의약품,제조,전문의약품,,,,,,,,,,
551,한국바이오의약품협회,(주)종근당,에나프린정10밀리그램(에날라프릴말레산염),198800153,의약품,제조,전문의약품,,,,,,,,,,
552,한국바이오의약품협회,(주)종근당,젤콤정(플루벤다졸),198800154,의약품,제조,일반의약품,,,,,,,,,,
553,한국바이오의약품협회,(주)종근당,카벤시럽,198800155,의약품,제조,전문의약품,,,,,,,,,,
554,한국바이오의약품협회,(주)종근당,베자립서방정(베자피브레이트),198900123,의약품,제조,전문의약품,,,,,,,,,,
555,한국바이오의약품협회,(주)종근당,에나프린정5밀리그램(에날라프릴말레산염),198900125,의약품,제조,전문의약품,,,,,,,,,,
556,한국바이오의약품협회,(주)종근당,애드칼정,198900129,의약품,제조,일반의약품,,,,,,,,,,
557,한국바이오의약품협회,(주)종근당,종근당리마틸정(부시라민),199100118,의약품,제조,전문의약품,,,,,,,,,,
558,한국바이오의약품협회,(주)종근당,마리나솔주,199200224,의약품,제조,전문의약품,,,,,,,,,,
559,한국바이오의약품협회,(주)종근당,종근당세파클러캡슐(세파클러수화물),199200232,의약품,제조,전문의약품,,,,,,,,,,
560,한국바이오의약품협회,(주)종근당,종근당세포티암정주1그램(세포티암염산염)(수출명:퉁안정주1그램),199200235,의약품,제조,전문의약품,,,,,,,,,,
561,한국바이오의약품협회,(주)종근당,오엠피정20밀리그램(오메프라졸),199200236,의약품,제조,전문의약품,,,,,,,,,,
562,한국바이오의약품협회,(주)종근당,아넥세이트주0.5밀리그램(플루마제닐),199203395,의약품,수입,전문의약품,,,,,,,,,,
563,한국바이오의약품협회,(주)종근당,"종근당세포탁심주0.5그램/수출명:세파크론주0.5그램,세포포르트주0.5그램(세포탁심나트륨)",199300188,의약품,제조,전문의약품,,,,,,,,,,
564,한국바이오의약품협회,(주)종근당,"종근당세포탁심주2그램(세포탁심나트륨)(수출명: 세파크론주2그램, 세포포르트주2그램)",199300189,의약품,제조,전문의약품,,,,,,,,,,
565,한국바이오의약품협회,(주)종근당,낙센에프정(나프록센),199300208,의약품,제조,전문의약품,,,,,,,,,,
566,한국바이오의약품협회,(주)종근당,오프벨라점안액(오플록사신),199300209,의약품,제조,전문의약품,,,,,,,,,,
567,한국바이오의약품협회,(주)종근당,"종근당세포탁심주1그램(세포탁심나트륨)(수출명:세파크론주1그램,세포포르트주1그램,씨케이디세파크론주1그램)",199300221,의약품,제조,전문의약품,,,,,,,,,,
568,한국바이오의약품협회,(주)종근당,사이폴주(사이클로스포린),199300222,의약품,제조,전문의약품,,,,,,,,,,
569,한국바이오의약품협회,(주)종근당,젤콤현탁액(플루벤다졸),199300228,의약품,제조,일반의약품,,,,,,,,,,
570,한국바이오의약품협회,(주)종근당,딜라트렌정25mg(카르베딜롤),199400114,의약품,제조,전문의약품,,,,,,,,,,
571,한국바이오의약품협회,(주)종근당,크목실린주1.2그램(주사용아목시실린나트륨.클라부란산칼륨),199500097,의약품,제조,전문의약품,,,,,,,,,,
572,한국바이오의약품협회,(주)종근당,크목실린주0.6g,199500098,의약품,제조,전문의약품,,,,,,,,,,
573,한국바이오의약품협회,(주)종근당,브레디닌정25밀리그램(미조리빈),199504100,의약품,수입,전문의약품,,,,,,,,,,
574,한국바이오의약품협회,(주)종근당,브레디닌정50밀리그램(미조리빈),199504101,의약품,수입,전문의약품,,,,,,,,,,
575,한국바이오의약품협회,(주)종근당,사이폴-엔연질캡슐25밀리그램(사이클로스포린)(수출명:데나스포연질캡슐25밀리그램),199600151,의약품,제조,전문의약품,,,,,,,,,,
576,한국바이오의약품협회,(주)종근당,사이폴-엔연질캡슐100밀리그램(사이클로스포린)(수출명:데나스포연질캡슐100밀리그램),199600158,의약품,제조,전문의약품,,,,,,,,,,
577,한국바이오의약품협회,(주)종근당,포세프캡슐(세픽심수화물),199700160,의약품,제조,전문의약품,,,,,,,,,,
578,한국바이오의약품협회,(주)종근당,낙센에프서방정1000밀리그램(나프록센),199700166,의약품,제조,전문의약품,,,,,,,,,,
579,한국바이오의약품협회,(주)종근당,종근당세푸록심나트륨주750밀리그램(세푸록심나트륨)(수출명:푸록심주),199700175,의약품,제조,전문의약품,,,,,,,,,,
580,한국바이오의약품협회,(주)종근당,딤세프주1그램(세프타지딤수화물)(수출명:딤제프주1그램),199700177,의약품,제조,전문의약품,,,,,,,,,,
581,한국바이오의약품협회,(주)종근당,"쎄릭손주1그램(세프트리악손나트륨수화물)(수출명:쎄릭손1그램정주,쎄릭손1그램근주,세피롬주1그램)",199700179,의약품,제조,전문의약품,,,,,,,,,,
582,한국바이오의약품협회,(주)종근당,크목실린건조시럽4:1(아목시실린:클라불란산칼륨)[수출명: 클루목스건조시럽(CLUMOX DRY SYRUP)],199700180,의약품,제조,전문의약품,,,,,,,,,,
583,한국바이오의약품협회,(주)종근당,"쎄릭손주0.5그램(세프트리악손나트륨수화물)(수출명:쎄릭손0.5그램정주,쎄릭손0.5그램근주,세피롬주0.5그램,씨케드릭스0.5그램)",199700183,의약품,제조,전문의약품,,,,,,,,,,
584,한국바이오의약품협회,(주)종근당,종근당세파클러건조시럽25밀리그램/밀리리터,199700184,의약품,제조,전문의약품,,,,,,,,,,
585,한국바이오의약품협회,(주)종근당,류스타틴주사액(클라드리빈),199704348,의약품,수입,전문의약품,,,,,,,,,,
586,한국바이오의약품협회,(주)종근당,이튼큐정(옥수수불검화정량추출물),199704687,한약(생약)제제등,제조,일반의약품,,,,,,,,,,
587,한국바이오의약품협회,(주)종근당,포세프산(세픽심수화물)(수출명:세프파산),199800082,의약품,제조,전문의약품,,,,,,,,,,
588,한국바이오의약품협회,(주)종근당,헤리클로정250밀리그램(클래리트로마이신),199800083,의약품,제조,전문의약품,,,,,,,,,,
589,한국바이오의약품협회,(주)종근당,딜라트렌정6.25mg(카르베딜롤),199800085,의약품,제조,전문의약품,,,,,,,,,,
590,한국바이오의약품협회,(주)종근당,딜라트렌정12.5mg(카르베딜롤),199800086,의약품,제조,전문의약품,,,,,,,,,,
591,한국바이오의약품협회,(주)종근당,포독스정(세프포독심프록세틸),199806914,의약품,제조,전문의약품,,,,,,,,,,
592,한국바이오의약품협회,(주)종근당,"크목실린정375밀리그램(아목시실린·클라불란산칼륨)[수출명: 클루목스정(CLUMOX TABLET),코멘틴정(KOMENTIN TABLET)]",199900114,의약품,제조,전문의약품,,,,,,,,,,
593,한국바이오의약품협회,(주)종근당,진보민주,199900116,의약품,제조,전문의약품,,,,,,,,,,
594,한국바이오의약품협회,(주)종근당,"사이폴-엔내복액(사이클로스포린)(수출명:데나스포내복액,사이클로랄내복액)",199900119,의약품,제조,전문의약품,,,,,,,,,,
595,한국바이오의약품협회,(주)종근당,오엠피정40밀리그램(오메프라졸),199900120,의약품,제조,전문의약품,,,,,,,,,,
596,한국바이오의약품협회,(주)종근당,볼그레액(철아세틸트랜스페린),200000218,의약품,제조,일반의약품,,,,,,,,,,
597,한국바이오의약품협회,(주)종근당,안티모딕정(티로프라미드염산염),200000220,의약품,제조,전문의약품,,,,,,,,,,
598,한국바이오의약품협회,(주)종근당,뉴로패시드정(티옥트산),200000223,의약품,제조,전문의약품,,,,,,,,,,
599,한국바이오의약품협회,(주)종근당,이모튼캡슐(아보카도-소야불검화물의추출물),200000224,한약(생약)제제등,제조,일반의약품,,,,,,,,,,
600,한국바이오의약품협회,(주)종근당,제니칼캡슐120밀리그램(오르리스타트),200008801,의약품,수입,전문의약품,,,,,,,,,,
601,한국바이오의약품협회,(주)종근당,볼그레캡슐(철-아세틸트랜스페린),200100102,의약품,제조,일반의약품,,,,,,,,,,
602,한국바이오의약품협회,(주)종근당,포독스건조시럽(세프포독심프록세틸),200100114,의약품,제조,전문의약품,,,,,,,,,,
603,한국바이오의약품협회,(주)종근당,크목실린건조시럽7:1[수출명: 클루목스듀오건조시럽(CLUMOX DUO DRY SYRUP)],200100115,의약품,제조,전문의약품,,,,,,,,,,
604,한국바이오의약품협회,(주)종근당,안티모딕주(티로프라미드염산염),200100119,의약품,제조,전문의약품,,,,,,,,,,
605,한국바이오의약품협회,(주)종근당,카이트릴정1밀리그램(그라니세트론염산염),200108800,의약품,수입,전문의약품,,,,,,,,,,
606,한국바이오의약품협회,(주)종근당,카이트릴주(그라니세트론염산염),200108802,의약품,수입,전문의약품,,,,,,,,,,
607,한국바이오의약품협회,(주)종근당,뉴로패시드오디정600밀리그램(티옥트산)     ,200200152,의약품,제조,전문의약품,,,,,,,,,,
608,한국바이오의약품협회,(주)종근당,종근당세파졸린주2그램(세파졸린나트륨)(수출명:라세나졸린주2그램),200200155,의약품,제조,전문의약품,,,,,,,,,,
609,한국바이오의약품협회,(주)종근당,모드코프시럽,200200157,의약품,제조,일반의약품,,,,,,,,,,
